"number","study.ID","effect..","coder","Full.citation","In.text.Citation","Year","Type","Phylum","Bivalve..Gastropod","Taxon","Tax.level","Aggregate.Trait","Author.s.Trait","Trait.category","Start.stage","End.stage","Aggregate.Age..Event","Age..Event","Global.Regional","Location","Data.source","Odds.Ratio","Var.Odds.Ratio","Log.odds.ratio","Var.Lnor","X..Ext","X..Surv","Total...Ext","Total...Surv","N","X.","per.capita.extinction","N.1","Total.per.capita.extinction","notes","x.square","n","df","p..sur.extinct.","X..group.a.extinct","X..group.b.extinct","p..before.after.","coefficient","d.f.","p","Note","X","Test.type","Trait.Type.Species.Total","Mean.Duration..my.","p.1","z","Parametric.Non","Test","n.1","p.2","test.stat","df.1","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.PBDB3","BC.extinction.rate.max","BC.extinction.ratePBDB.max","BC.extinction.rate.PBDB3.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","mean_d13C.detrended.prok","mean_d18O.detrended.prok","mean_d34S.detrended.prok","Volcanism","Flood_basalt","Bolide","OA","Start..Ma.","End..Ma.","lnor","vlnor","lnorReg","vlnorReg","cluster","meanDate","timeSpan","MultipleStages"
NA,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Endemic","Narrow","Hettangian","Hettangian","Early Jurassic","Hettangian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,6,8,7,55,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3805,1.1712,0.70776,17.911,0.026,0.02,0.0345,0.026,0.02,0.043,1.43333333333333,1.28652691971506,12,-2.0875,0.972374086263288,12,-0.243,-15.536795878,NA,NA,0,NA,NA,0,NA,NA,0,0.70775776,3.21e-05,25,NA,NA,NA,0,0,0,1,199.6,196.5,-13.7326795653326,3.10739464617016,-3.18700061633775,0.959212510915297,1,198.05,3.09999999999999,"TRUE"
NA,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Cosmospolitan","Broad","Hettangian","Hettangian","Early Jurassic","Hettangian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,1,47,7,55,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3805,1.1712,0.70776,17.911,0.026,0.02,0.0345,0.026,0.02,0.043,1.43333333333333,1.28652691971506,12,-2.0875,0.972374086263288,12,-0.243,-15.536795878,NA,NA,0,NA,NA,0,NA,NA,0,0.70775776,3.21e-05,25,NA,NA,NA,0,0,0,1,199.6,196.5,1.16823142135642,0.264344336219336,3.18700061633775,0.959212510915297,1,198.05,3.09999999999999,"TRUE"
NA,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Endemic","Narrow","Sinemurian","Sinemurian","Early Jurassic","Early Sinemurian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,6,10,10,55,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32834,-0.276305,0.707385,17.546,0.0535,0.0505,0.058,0.065,0.0505,0.073,1.34881183709821,1.10408757302765,124,-1.19205536675163,0.769509850466509,218.5,-6.44416666666667,-15.3748933073333,-0.97,0.321014018,9,0.205555556,0.485698237,9,14.95,1.060660172,2,0.707520903,0.000120144,62,-2.97062587773908,2.73841666411461,-4.71694581199533,0,0,0,0,196.5,189.5,-6.79545454545454,1.92045454545455,-1.83406184891874,0.493284493284493,2,193,7,"TRUE"
NA,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Cosmospolitan","Broad","Sinemurian","Sinemurian","Early Jurassic","Early Sinemurian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,4,45,10,55,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32834,-0.276305,0.707385,17.546,0.0535,0.0505,0.058,0.065,0.0505,0.073,1.34881183709821,1.10408757302765,124,-1.19205536675163,0.769509850466509,218.5,-6.44416666666667,-15.3748933073333,-0.97,0.321014018,9,0.205555556,0.485698237,9,14.95,1.060660172,2,0.707520903,0.000120144,62,-2.97062587773908,2.73841666411461,-4.71694581199533,0,0,0,0,196.5,189.5,0.724546590435804,0.204763166862292,1.83406184891874,0.493284493284493,2,193,7,"TRUE"
NA,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Endemic","Narrow","Pliensbachian","Pliensbachian","Early Jurassic","Early Pliensbachian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,11,10,34,46,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83032,0.40167,0.70725,17.548,0.065,0.077,0.073,0.065,0.077,0.073,1.62921787709497,0.917916823551847,179,-1.19560606060606,0.92480167723269,330,-5.70333333333333,-9.09659388366667,0.420816327,1.145525419,49,-0.822222222,1.388485418,63,15.8,2.121320344,2,0.707244861,8.08e-05,72,-1.59395216491332,1.63369113418001,-3.80139095628549,1,1,0,1,189.5,183,-1.52107219699474,0.733046841925176,-0.531283617644059,0.25214506874056,3,186.25,6.5,"TRUE"
NA,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Cosmospolitan","Broad","Pliensbachian","Pliensbachian","Early Jurassic","Early Pliensbachian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,23,36,34,46,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83032,0.40167,0.70725,17.548,0.065,0.077,0.073,0.065,0.077,0.073,1.62921787709497,0.917916823551847,179,-1.19560606060606,0.92480167723269,330,-5.70333333333333,-9.09659388366667,0.420816327,1.145525419,49,-0.822222222,1.388485418,63,15.8,2.121320344,2,0.707244861,8.08e-05,72,-1.59395216491332,1.63369113418001,-3.80139095628549,1,1,0,1,189.5,183,0.192701188990141,0.0928680428868149,0.531283617644059,0.25214506874056,3,186.25,6.5,"TRUE"
NA,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Endemic","Narrow","Toarcian","Toarcian","Early Jurassic","Early Toarcian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,13,10,25,53,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2017,1.6177,0.70726,17.6785,0.054,0.05,0.044,0.054,0.05,0.044,1.38879906542056,1.14032261652288,112,-1.51173584905661,0.902719643554949,111,-3.34,-3.627970567,1.645882353,0.479088442,17,-1.206647059,0.794757741,17,20.73333333,3.189566324,3,0.707231703,9.12e-05,37,-0.384986961203984,1.16166424113138,1.20657405559956,0,0,0,1,183,175.6,-3.76164924920641,0.668356814209794,-1.49834672206729,0.272300675059296,4,179.3,7.40000000000001,"TRUE"
NA,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Cosmospolitan","Broad","Toarcian","Toarcian","Early Jurassic","Early Toarcian","0","Northwest Europe","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,12,43,25,53,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2017,1.6177,0.70726,17.6785,0.054,0.05,0.044,0.054,0.05,0.044,1.38879906542056,1.14032261652288,112,-1.51173584905661,0.902719643554949,111,-3.34,-3.627970567,1.645882353,0.479088442,17,-1.206647059,0.794757741,17,20.73333333,3.189566324,3,0.707231703,9.12e-05,37,-0.384986961203984,1.16166424113138,1.20657405559956,0,0,0,1,183,175.6,0.657822298456261,0.116879588336192,1.49834672206729,0.272300675059296,4,179.3,7.40000000000001,"TRUE"
NA,"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Endemic","Narrow","Hettangian","Hettangian","Early Jurassic","Hettangian","0","South America","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,7,4,7,14,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3805,1.1712,0.70776,17.911,0.026,0.02,0.0345,0.026,0.02,0.043,1.43333333333333,1.28652691971506,12,-2.0875,0.972374086263288,12,-0.243,-15.536795878,NA,NA,0,NA,NA,0,NA,NA,0,0.70775776,3.21e-05,25,NA,NA,NA,0,0,0,1,199.6,196.5,-2.47933884297521,0.743801652892562,-3.55534806148941,2.45079365079365,5,198.05,3.09999999999999,"TRUE"
NA,"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",1986,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Cosmospolitan","Broad","Hettangian","Hettangian","Early Jurassic","Hettangian","0","South America","data from Aberhan 2002 Aberhan, M., 2002, Opening of the Hispanic Corridor
and Early Jurassic bivalve biodiversity,
in Crame, J.A., and Owen, A.W., eds., Palaeobiogeography
and biodiversity change: The
Ordovician and MesozoicÐCenozoic radiations:
Geologic",NA,NA,NA,NA,0,10,7,14,NA,NA,NA,NA,NA,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3805,1.1712,0.70776,17.911,0.026,0.02,0.0345,0.026,0.02,0.043,1.43333333333333,1.28652691971506,12,-2.0875,0.972374086263288,12,-0.243,-15.536795878,NA,NA,0,NA,NA,0,NA,NA,0,0.70775776,3.21e-05,25,NA,NA,NA,0,0,0,1,199.6,196.5,3,0.9,3.55534806148941,2.45079365079365,5,198.05,3.09999999999999,"TRUE"
